true,prediction
1.0000001,0.784750083809815
0.60882837,0.7248826196778098
1.0,0.8714855194185683
0.96568215,0.782539365207649
0.8049668,0.8206226610129751
0.99999994,0.8082035265367548
0.7285143,0.8107486462964858
0.74700147,0.8025542025513629
0.53636545,0.7435818079024817
1.0000001,0.8464062177899445
0.70626825,0.5728064931748305
1.0,0.6711683468345665
0.56435126,0.7512552904465702
1.0,0.7227298153911114
0.65461016,0.7644256477470126
0.59395254,0.6659784848450984
1.0,0.873282493742627
1.0000001,0.8675373957886339
1.0000001,0.8550798551241441
1.0000002,0.7681634449308166
0.77227616,0.8073275411056294
1.0,0.6507149218930943
1.0,0.789112747640701
0.70094055,0.7025283611944348
1.0000002,0.6864175413161099
1.0000001,0.7982179180452442
0.4164305,0.7394236624300948
0.81037277,0.7785328484376206
1.0000001,0.8610069207742458
0.8078077,0.6801397226799117
0.44694424,0.6435127049705471
1.0000002,0.6788034821554013
1.0,0.7308851846530757
1.0,0.8482125172592782
0.4416672,0.7798812974388124
0.99999994,0.7429476188534176
1.0,0.7405654746107232
0.22178169999999997,0.6514935517586155
1.0000001,0.8196140731293177
0.66312325,0.6559802279299314
0.99999994,0.8642810719171691
1.0000002,0.7568126947799478
1.0,0.7526537573853517
0.26201928,0.49321622626532535
1.0000001,0.7436979150168832
0.51370966,0.664681988684576
0.7557013,0.7601932827292415
0.59736156,0.7755866698710396
0.76608855,0.8552984480627116
1.0,0.7120478849079432
1.0000001,0.815974285167246
1.0,0.851138105625285
0.40771043,0.7342725279006923
1.0,0.8351982326126703
1.0000001,0.8755392460142244
0.69354075,0.7414459405561015
0.5122882,0.8271368631012602
0.6664753,0.5147148067646017
0.6141827,0.7970699200882118
0.32565823,0.70761867468073
1.0,0.7810904806404484
0.4813672,0.844980778044629
0.44227225,0.6125453664248567
0.34608316,0.6456621013152212
1.0000001,0.8554599365863602
0.8223145,0.9007385457957047
1.0,0.7786310215270181
0.12523445,0.591577441172348
0.8912551,0.8275837574774455
1.0,0.8675810992010439
0.2981548,0.5770168977530221
0.97598886,0.7709615353469088
1.0,0.7556012293948904
0.21243844999999995,0.7303431628351058
1.0000001,0.6925096510146711
1.0,0.8836229305831791
0.82245636,0.6274620578930306
1.0,0.8722278216870194
1.0000001,0.7769054395241445
1.0000001,0.8707991232007696
0.7267205,0.8807703990565605
1.0,0.6005160760425888
0.18017066000000004,0.6143758941055341
1.0,0.7332943316085112
1.0,0.8307782754245994
1.0,0.8389884218013075
1.0000001,0.8245008362506863
0.5244108,0.7211943683775359
1.0000001,0.9033386709637539
0.5325923,0.8087189100554406
0.9999999,0.8328856008112221
1.0000001,0.6977100511157005
0.55342877,0.77226262420518
1.0,0.8570581373257546
0.88994145,0.7521798279765496
1.0000001,0.847925596908289
0.72875893,0.6468683327519881
0.48846442,0.6526243211797371
1.0,0.5818990329198256
0.96620005,0.7742262986597556
0.41440758,0.6309051004771866
0.64727104,0.7048269830342196
1.0,0.71051650376138
0.78961885,0.6369728622907984
0.8907279,0.7327987750481487
1.0000001,0.890834520290821
0.50163037,0.7355876661123355
0.8169292,0.7673586446613665
1.0000001,0.786171784671635
0.86613643,0.7773432792651788
0.22630808999999996,0.6539936215543565
0.5488815,0.7680016862068721
0.67299825,0.6326893256731244
0.8214079,0.7809858240480045
0.64711237,0.7988644255050862
1.0000001,0.810617863021134
1.0000002,0.7588495518295821
1.0000002,0.6770028148819129
0.6287425,0.5983731019879168
0.7063795,0.819753531448749
1.0,0.7674407901381335
1.0,0.7993775002976284
0.32897654,0.6655145904022602
0.6484045,0.7816533966343677
1.0000001,0.599606339061255
1.0000002,0.6446537461748167
0.80611855,0.728399412994282
0.99999994,0.7988777838894563
0.8103726,0.78554774056817
0.8112563,0.7000491509465037
1.0000001,0.7724063065871805
0.99999994,0.7665389377038918
0.6301825,0.7103893914424241
0.98282886,0.8081385388961886
1.0,0.876366690130078
1.0000001,0.7533521956466791
1.0,0.8485702597260234
0.3662808,0.667159489432551
0.5079608,0.6596272356026724
1.0,0.7209888962322445
0.5375828,0.7410352140558273
1.0,0.7052160045231789
0.10939991000000004,0.6088311138203135
0.4039899,0.6975316735235616
0.73380536,0.8407280690373063
